text|chunk_id
"Species: House Crow
Info: A slender, blackish medium-sized crow with a long bill. The grayish nape and sides form a paler collar that contrasts with the glossy black body. Primarily a scavenger, feeding on leftover rubbish from humans. Found in a wide range of habitats mostly around human habitation. Their call is a loud and harsh “kaa kaa kaa.”"|7dd1f2e62c7e47a9af1145904977c954
"Species: Common Tailorbird
Info: A common warblerlike bird with a green back, a reddish crown, and a long bill. It gets its name from the way in which it builds its nest by stitching leaves together. A ubiquitous inhabitant of parks, gardens, and wooded areas across South and Southeast Asia. Its loud “tuui-tuui…” and “whee-whee…” calls are often part of the sound of daily life in human habitation. Co-occurs with the very similar Dark-necked Tailorbird in NE India and SE Asia, but is separable by call, and by the lack of a rufous hind-crown, and yellow vent."|9ad3f5260d19447388f177864213431a
"Species: Red-vented Bulbul
Info: A dark, sleek, medium-sized bird with a black crest and a white rump. The red color under the tail is often difficult to see. Eats fruit, flower buds, and insects. Conspicuous and sometimes gregarious, often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest. Calls include a variety of chirps and whistles. Native to South and Southeast Asia. Introduced to Kuwait, Qatar, United Arab Emirates, Oman, and some Polynesian islands, including Hawaii."|b0297f6bc4bf43fab5c857673f5bd6f0
"Species: Common Chiffchaff
Info: A very plain leaf warbler found in a variety of wooded and scrubby habitats, often near water. Best identified by voice: song is a slightly jerky double-noted chiff-chaff, chiff-chaff..., very different from song of the similar Willow Warbler. Relative to Willow Warbler, Chiffchaff is often duller, more brownish overall with weaker pale eyebrow, dark legs, and tends to habitually dip its tail. Also similar to Booted and Sykes’s Warbler, but these are browner toned with darkish legs and bill."|35ea6afd2bfa4ea4a80202443183617e
"Species: Jungle Babbler
Info: This familiar ash-brown colored babbler has a yellow bill and a dark brow in front of the eye that contrasts with its pale eye giving it a perpetual “angry” look. It has vague streaking on the upperparts, diffuse mottling on its throat, and barring on its tail. The multiple races vary slightly in color and strength of markings except the race somervillei of the NW peninsula which has dark brown outer wing feathers that contrast with the rest of the wing. They are often seen in noisy flocks hopping on the ground and flicking litter in search of food."|76ff2eb595b14af29116cbe798206ff1
"Species: Common Myna
Info: A large, black-and-brown myna with white wing patches, yellow bill, and yellow legs. Gregarious and often found in noisy flocks. Aggressive, often driving away other birds. Can be found just about anywhere but the densest forests. Native to southern Asia, where it is among the most common species. Widely introduced elsewhere in the world, including Australia, New Zealand, and Hawaii."|92da984851f146aca364d5d9e238feb1
"Species: Brown Rock Chat
Info: Plain chocolate-brown chat, often seen standing tall and proud on ridges, cliff edges, and buildings. Female Indian Robin can be somewhat similar; note Brown Rock Chat’s proportionally shorter tail and lack of a rufous vent. Lovely song is composed of warbles and trills. Most common call is a slightly descending “chee.”"|84de80143c8b4774a11419e8ae233af6
"Species: Bar-headed Goose
Info: Striking and distinctive goose. Bold black-and-white head and neck pattern unlike any other goose; also note orangey-yellow bill and legs. In flight appears mainly pale gray with broad black trailing edge to wings. Breeds around lakes and marshes on highland plateaus; winters in lowland wetlands and fields. Native to East and South Asia, but escapees from waterfowl collections are occasionally seen free-flying elsewhere in the world."|d8cc3e06c95b469c9d08614c9929cc4d
"Species: Graylag Goose
Info: Large gray goose. Rather bulky and overall brownish gray with a big pinkish-orange bill and pinkish legs. In flight shows extensively pale gray leading edge to upperwings, rather pale underwing coverts, and broad white tail tip. Compare to other gray geese, which differ in details of bill pattern and color, head and neck pattern, and have dark underwings. Inhabits lakes, marshes, and wetlands, and even urban parks in parts of its European range."|0c035be70f4d4807ab5a4a6119138c6d
"Species: Knob-billed Duck
Info: Large bicolored waterbird. Both sexes are iridescent purplish-green above with a white or buffy breast. Males have a large black lump on the bill, gray flanks and whitish belly, whereas females have a plain bill and gray flanks. Note all dark wings. Occurs throughout much of Africa, India, and Southeast Asia. Found in freshwater rivers, lakes, and marshes where it is usually uncommon. Normally silent."|f7c55a0572084c1090bc35fccce611c6
"Species: Northern Shoveler
Info: Medium-sized duck; smaller than a Mallard. Huge, spoon-shaped bill visible at a distance and in flight. Breeding males have dark green head, white breast, and chestnut sides and belly. Females buffy-brown with large, distinctive bill. Chalky-blue upperwing. Forages by sifting through the water, often swimming in spirals in groups."|de63326993054b4180071beb366aaa27
"Species: Indian Spot-billed Duck
Info: A large grayish-brown duck with a diagnostic yellow-tipped black bill and a red spot at the base of the bill (missing in certain subspecies). In flight, note the green panel in the wing that is bordered in white. Often seen in small groups dabbling or tipping up in shallow water or walking on marshy land at the edge of freshwater lakes or in cultivated fields. Usually not seen associating with other species. Similar to Eastern Spot-billed Duck, but note green wing panel, lack of a distinct dark ""moustache"", and overall warmer tan coloration."|90471659c7504a4593185da2483ea832
"Species: Green-winged Teal
Info: Tiny duck with a petite, thin bill. Males have a brown head with a wide green swatch behind the eye, creamy speckled breast, and mostly gray body. Females are brown, darker overall than other dabbling ducks. Forages by dabbling and tipping-up to reach submerged aquatic vegetation. Also regularly walks around mudflats to feed."|456e0e561202489f9c7f70dcee258a4c
